customer_id,age,gender,tenure,usage_frequency,support_calls,payment_delay,subscription_type,contract_length,total_spend,last_interaction,churn,customer_feedback
187001,32,Female,35,3,0,9,Standard,Annual,679.65,3,1,Generated feedback 0
187002,56,Female,2,5,0,23,Standard,Monthly,836.73,14,1,Generated feedback 1
187003,21,Female,27,4,4,12,Basic,Annual,746.22,22,0,Generated feedback 2
187004,28,Male,7,6,3,25,Standard,Quarterly,455.95,14,1,Generated feedback 3
187005,55,Female,30,4,6,6,Standard,Monthly,325.83,1,0,Generated feedback 4
187006,33,Female,29,2,5,8,Standard,Monthly,444.65,29,1,Generated feedback 5
187007,53,Male,24,6,7,6,Premium,Monthly,423.68,20,1,Generated feedback 6
187008,23,Male,13,2,7,6,Premium,Annual,915.17,7,1,Generated feedback 7
187009,64,Male,10,7,4,12,Basic,Quarterly,606.11,22,0,Generated feedback 8
187010,51,Male,34,3,2,25,Premium,Monthly,358.48,11,1,Generated feedback 9
187011,18,Male,10,6,8,16,Standard,Quarterly,979.22,2,0,Generated feedback 10
187012,30,Female,1,6,0,5,Premium,Annual,123.36,27,1,Generated feedback 11
187013,30,Female,28,7,1,4,Basic,Quarterly,804.56,10,0,Generated feedback 12
187014,56,Male,25,7,7,22,Standard,Quarterly,849.56,27,0,Generated feedback 13
187015,49,Male,4,8,5,25,Standard,Monthly,785.37,14,0,Generated feedback 14
187016,59,Male,32,9,9,26,Standard,Monthly,72.07,22,1,Generated feedback 15
187017,54,Female,20,6,8,20,Standard,Quarterly,339.13,5,1,Generated feedback 16
187018,52,Male,22,7,1,7,Basic,Annual,886.26,9,0,Generated feedback 17
187019,39,Female,20,5,7,7,Basic,Monthly,737.48,18,1,Generated feedback 18
187020,57,Female,8,1,6,12,Standard,Quarterly,948.15,29,0,Generated feedback 19
187021,53,Male,17,6,5,14,Basic,Quarterly,893.9,21,0,Generated feedback 20
187022,19,Male,31,7,0,11,Standard,Monthly,438.6,4,0,Generated feedback 21
187023,54,Male,5,4,4,13,Premium,Monthly,744.18,23,1,Generated feedback 22
187024,66,Male,26,8,0,15,Basic,Monthly,572.39,17,1,Generated feedback 23
187025,36,Male,15,3,3,12,Basic,Quarterly,425.37,26,0,Generated feedback 24
187026,38,Male,3,2,9,2,Basic,Monthly,713.47,17,1,Generated feedback 25
187027,62,Female,2,4,4,11,Basic,Quarterly,94.43,4,0,Generated feedback 26
187028,51,Male,29,5,3,9,Premium,Annual,157.43,20,0,Generated feedback 27
187029,60,Female,33,1,8,12,Standard,Quarterly,547.19,4,1,Generated feedback 28
187030,53,Female,22,6,3,9,Basic,Monthly,341.85,8,0,Generated feedback 29
187031,44,Female,14,2,7,2,Basic,Annual,384.18,21,0,Generated feedback 30
187032,33,Male,23,9,3,11,Standard,Monthly,103.74,29,1,Generated feedback 31
187033,54,Male,27,1,4,14,Basic,Quarterly,497.5,28,0,Generated feedback 32
187034,42,Male,1,9,0,23,Standard,Annual,579.66,19,0,Generated feedback 33
187035,45,Female,26,2,8,29,Basic,Monthly,724.23,26,1,Generated feedback 34
187036,55,Female,30,9,3,6,Basic,Monthly,265.3,3,1,Generated feedback 35
187037,51,Male,31,7,7,18,Basic,Monthly,724.86,14,1,Generated feedback 36
187038,66,Male,19,8,9,18,Standard,Quarterly,361.38,12,0,Generated feedback 37
187039,66,Female,29,2,2,13,Premium,Quarterly,878.91,6,0,Generated feedback 38
187040,44,Female,34,9,0,16,Basic,Monthly,663.95,3,0,Generated feedback 39
187041,32,Male,34,4,1,28,Premium,Annual,368.79,25,0,Generated feedback 40
187042,57,Female,32,4,1,29,Premium,Quarterly,581.15,10,0,Generated feedback 41
187043,27,Female,32,3,5,10,Standard,Annual,190.31,1,1,Generated feedback 42
