customer_id,age,gender,tenure,usage_frequency,support_calls,payment_delay,subscription_type,contract_length,total_spend,last_interaction,churn,customer_feedback
145001,56,Female,14,9,4,12,Standard,Quarterly,967.46,6,0,Generated feedback 0
145002,45,Male,32,5,9,7,Premium,Monthly,491.72,26,1,Generated feedback 1
145003,37,Female,12,5,1,11,Standard,Annual,940.69,12,1,Generated feedback 2
145004,50,Male,15,6,8,10,Basic,Annual,318.0,8,1,Generated feedback 3
145005,30,Female,19,7,8,9,Standard,Quarterly,552.78,25,1,Generated feedback 4
145006,44,Female,33,4,6,15,Premium,Monthly,879.56,4,1,Generated feedback 5
145007,50,Female,17,3,6,22,Basic,Quarterly,174.2,17,1,Generated feedback 6
145008,22,Female,15,9,3,25,Basic,Monthly,672.3,25,1,Generated feedback 7
145009,59,Female,29,1,1,13,Standard,Quarterly,611.18,9,0,Generated feedback 8
145010,29,Male,1,3,3,24,Standard,Annual,908.51,19,0,Generated feedback 9
145011,63,Male,18,5,8,24,Standard,Quarterly,485.64,1,1,Generated feedback 10
145012,65,Female,24,8,3,24,Premium,Annual,161.03,7,1,Generated feedback 11
145013,40,Female,35,2,8,4,Standard,Annual,576.08,2,0,Generated feedback 12
145014,44,Female,2,7,7,0,Standard,Monthly,889.99,25,1,Generated feedback 13
145015,35,Female,30,4,7,1,Basic,Annual,759.82,8,0,Generated feedback 14
145016,33,Female,35,1,4,24,Basic,Quarterly,766.23,10,1,Generated feedback 15
145017,47,Male,12,6,4,21,Basic,Quarterly,146.73,8,1,Generated feedback 16
145018,24,Male,11,9,0,21,Premium,Quarterly,193.93,25,1,Generated feedback 17
145019,66,Female,15,6,7,2,Premium,Monthly,938.95,24,0,Generated feedback 18
145020,50,Female,23,8,6,10,Premium,Annual,218.73,22,0,Generated feedback 19
145021,23,Female,27,4,1,16,Premium,Monthly,341.17,24,1,Generated feedback 20
145022,53,Male,3,8,9,21,Premium,Quarterly,229.18,15,1,Generated feedback 21
145023,69,Male,8,9,9,15,Basic,Annual,755.93,6,0,Generated feedback 22
145024,24,Male,27,8,8,9,Basic,Monthly,840.77,18,0,Generated feedback 23
145025,39,Male,27,2,5,8,Premium,Annual,660.87,19,0,Generated feedback 24
145026,69,Female,7,4,0,19,Premium,Annual,67.72,23,0,Generated feedback 25
145027,52,Female,25,6,3,18,Standard,Monthly,916.78,3,1,Generated feedback 26
145028,58,Female,21,1,1,19,Basic,Quarterly,344.25,27,0,Generated feedback 27
145029,50,Male,14,5,8,2,Premium,Annual,675.83,6,0,Generated feedback 28
145030,68,Male,25,3,9,21,Standard,Monthly,894.84,19,1,Generated feedback 29
145031,37,Male,16,6,1,25,Basic,Quarterly,670.68,17,1,Generated feedback 30
145032,52,Male,23,8,6,26,Basic,Quarterly,416.13,3,0,Generated feedback 31
145033,46,Male,28,5,4,7,Standard,Monthly,427.0,23,1,Generated feedback 32
145034,32,Female,16,6,8,29,Premium,Monthly,967.29,6,0,Generated feedback 33
145035,35,Male,27,8,3,28,Standard,Monthly,600.77,15,0,Generated feedback 34
145036,43,Female,29,2,7,16,Standard,Quarterly,165.9,23,1,Generated feedback 35
145037,42,Male,15,1,7,12,Standard,Annual,327.69,14,1,Generated feedback 36
145038,29,Female,20,4,0,24,Standard,Quarterly,707.12,12,1,Generated feedback 37
145039,63,Female,8,8,8,20,Premium,Annual,474.22,18,0,Generated feedback 38
145040,56,Female,2,8,5,28,Standard,Annual,967.21,28,1,Generated feedback 39
145041,43,Male,4,1,5,14,Basic,Annual,732.65,10,0,Generated feedback 40
145042,26,Female,1,6,4,8,Basic,Quarterly,565.28,18,0,Generated feedback 41
