customer_id,age,gender,tenure,usage_frequency,support_calls,payment_delay,subscription_type,contract_length,total_spend,last_interaction,churn,customer_feedback
496001,55,Male,29,2,3,22,Standard,Annual,384.44,19,1,Generated feedback 0
496002,54,Male,34,7,6,14,Standard,Annual,486.56,8,1,Generated feedback 1
496003,51,Male,18,7,4,18,Standard,Monthly,483.44,2,1,Generated feedback 2
496004,66,Female,11,8,2,20,Basic,Monthly,702.7,20,1,Generated feedback 3
496005,68,Female,12,1,4,9,Standard,Monthly,195.75,5,0,Generated feedback 4
496006,69,Female,5,6,2,20,Standard,Monthly,54.66,6,0,Generated feedback 5
496007,43,Female,8,8,6,3,Standard,Annual,984.58,23,0,Generated feedback 6
496008,68,Male,12,9,4,4,Standard,Quarterly,981.95,23,1,Generated feedback 7
496009,52,Female,6,9,3,11,Basic,Monthly,937.43,19,0,Generated feedback 8
496010,41,Male,34,8,5,2,Standard,Monthly,949.31,29,1,Generated feedback 9
496011,50,Female,25,6,8,17,Standard,Annual,623.92,19,0,Generated feedback 10
496012,54,Male,24,4,8,15,Standard,Monthly,584.71,8,0,Generated feedback 11
496013,24,Female,32,9,9,26,Premium,Monthly,619.86,25,1,Generated feedback 12
496014,23,Female,19,4,3,22,Premium,Quarterly,475.4,12,0,Generated feedback 13
496015,62,Female,26,2,1,15,Premium,Annual,393.48,15,0,Generated feedback 14
496016,69,Male,9,2,2,19,Premium,Annual,67.75,20,1,Generated feedback 15
496017,22,Male,23,7,4,8,Standard,Annual,83.45,9,1,Generated feedback 16
496018,32,Male,21,6,0,28,Basic,Monthly,469.38,17,1,Generated feedback 17
496019,68,Female,25,7,5,9,Premium,Quarterly,74.03,2,1,Generated feedback 18
496020,67,Male,32,6,6,2,Standard,Quarterly,733.64,22,1,Generated feedback 19
496021,24,Male,5,3,1,14,Premium,Annual,342.55,9,0,Generated feedback 20
496022,39,Male,28,9,1,3,Standard,Monthly,201.69,7,1,Generated feedback 21
496023,55,Male,23,5,2,7,Standard,Annual,156.34,12,0,Generated feedback 22
496024,68,Male,24,3,2,27,Basic,Quarterly,536.9,12,0,Generated feedback 23
496025,67,Female,33,5,5,3,Basic,Quarterly,294.01,3,1,Generated feedback 24
496026,29,Male,10,1,4,0,Standard,Monthly,714.32,27,0,Generated feedback 25
496027,58,Female,34,6,3,22,Standard,Quarterly,303.44,5,1,Generated feedback 26
496028,31,Female,5,7,2,9,Basic,Monthly,377.94,17,1,Generated feedback 27
496029,61,Female,3,1,6,18,Basic,Monthly,646.87,16,0,Generated feedback 28
496030,34,Male,6,6,3,13,Standard,Monthly,912.16,5,1,Generated feedback 29
496031,39,Male,33,5,9,29,Standard,Annual,971.42,17,0,Generated feedback 30
496032,62,Female,13,7,5,19,Standard,Quarterly,546.64,21,1,Generated feedback 31
496033,67,Male,5,4,1,2,Premium,Monthly,449.11,26,0,Generated feedback 32
496034,45,Female,33,9,7,1,Basic,Monthly,191.44,2,1,Generated feedback 33
